Instance_Name	=	65_3_10_3
<2,0,>	=	17
<2,1,>	=	14
<2,2,>	=	14
<2,3,>	=	13
<2,4,>	=	19
<2,5,>	=	6
<2,6,>	=	20
<2,7,>	=	5
<2,8,>	=	15
<2,9,>	=	8

processing_at_assembly=
<Lot>
<0>	=	17
<1>	=	11
<2>	=	7

MinMakespan=
<Lot,Vendor,SubLot>
<0,0,0,>	=	37
<0,0,1,>	=	31
<0,1,0,>	=	28
<0,2,0,>	=	19
<0,2,1,>	=	18
<0,3,0,>	=	19
<0,3,1,>	=	18
<0,3,2,>	=	18
<0,4,0,>	=	20
<0,4,1,>	=	19
<0,4,2,>	=	18
<0,5,0,>	=	24
<0,6,0,>	=	21
<0,6,1,>	=	19
<0,6,2,>	=	18
<0,7,0,>	=	18
<0,7,1,>	=	18
<0,7,2,>	=	18
<0,8,0,>	=	18
<0,8,1,>	=	18
<0,9,0,>	=	26
<1,0,0,>	=	26
<1,1,0,>	=	31
<1,1,1,>	=	25
<1,2,0,>	=	27
<1,2,1,>	=	23
<1,2,2,>	=	19
<1,3,0,>	=	26
<1,4,0,>	=	28
<1,4,1,>	=	26
<1,4,2,>	=	24
<1,5,0,>	=	15
<1,6,0,>	=	16
<1,6,1,>	=	14
<1,6,2,>	=	13
<1,7,0,>	=	28
<1,8,0,>	=	17
<1,8,1,>	=	14
<1,9,0,>	=	31
<2,0,0,>	=	24
<2,0,1,>	=	15
<2,0,2,>	=	12
<2,1,0,>	=	21
<2,2,0,>	=	21
<2,2,1,>	=	19
<2,2,2,>	=	14
<2,3,0,>	=	20
<2,4,0,>	=	26
<2,5,0,>	=	13
<2,6,0,>	=	27
<2,6,1,>	=	21
<2,6,2,>	=	19
<2,7,0,>	=	12
<2,7,1,>	=	10
<2,7,2,>	=	9
<2,8,0,>	=	22
<2,8,1,>	=	16
<2,8,2,>	=	14
<2,9,0,>	=	15
<2,9,1,>	=	12

TransferCost=
<Lot,Vendor,SubLot>
<0,0,0,>	=	3
<0,0,1,>	=	7
<0,1,0,>	=	6
<0,2,0,>	=	2
<0,2,1,>	=	5
<0,3,0,>	=	3
<0,3,1,>	=	6
<0,3,2,>	=	9
<0,4,0,>	=	4
<0,4,1,>	=	11
<0,4,2,>	=	17
<0,5,0,>	=	2
<0,6,0,>	=	5
<0,6,1,>	=	10
<0,6,2,>	=	16
<0,7,0,>	=	1
<0,7,1,>	=	2
<0,7,2,>	=	3
<0,8,0,>	=	1
<0,8,1,>	=	2
<0,9,0,>	=	3
<1,0,0,>	=	4
<1,1,0,>	=	2
<1,1,1,>	=	5
<1,2,0,>	=	4
<1,2,1,>	=	10
<1,2,2,>	=	16
<1,3,0,>	=	5
<1,4,0,>	=	3
<1,4,1,>	=	7
<1,4,2,>	=	11
<1,5,0,>	=	5
<1,6,0,>	=	4
<1,6,1,>	=	8
<1,6,2,>	=	12
<1,7,0,>	=	4
<1,8,0,>	=	4
<1,8,1,>	=	9
<1,9,0,>	=	6
<2,0,0,>	=	3
<2,0,1,>	=	8
<2,0,2,>	=	13
<2,1,0,>	=	4
<2,2,0,>	=	4
<2,2,1,>	=	8
<2,2,2,>	=	13
<2,3,0,>	=	4
<2,4,0,>	=	4
<2,5,0,>	=	1
<2,6,0,>	=	5
<2,6,1,>	=	10
<2,6,2,>	=	19
<2,7,0,>	=	3
<2,7,1,>	=	8
<2,7,2,>	=	11
<2,8,0,>	=	1
<2,8,1,>	=	2
<2,8,2,>	=	3
<2,9,0,>	=	4
<2,9,1,>	=	10
